record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,reporting_delay_days,complaints_count,supply_delay_days,anomaly_flag,predicted_anomaly,anomaly_score,anomaly_prediction_correct
ES-002938,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 2,0.6933,6,4,3,0,0,-0.2126606786894375,True
ES-000122,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 4,0.8777,7,3,6,0,0,-0.15703218748400966,True
ES-007514,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 1,0.6544,8,2,6,0,0,-0.19142016240076287,True
ES-006522,2026-02-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 6,0.8225,6,2,6,0,0,-0.2016733949602757,True
ES-000762,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 6,0.6571,8,3,7,0,0,-0.19172646258174358,True
ES-004090,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 2,0.6475,6,1,4,0,0,-0.19120871765167108,True
ES-003834,2026-02-01,Education Access Project,Education,Borno,Mafa,Mafa Site 6,0.7778,3,4,4,0,0,-0.20858069137797586,True
ES-004986,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 6,0.6877,12,4,6,0,0,-0.12168725219631393,True
ES-001018,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 2,0.7459,4,3,6,0,0,-0.22548498344146062,True
ES-001306,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 5,0.6,7,3,4,0,0,-0.18704694460767418,True
ES-007482,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 6,0.6687,3,3,3,0,0,-0.2038358100150291,True
ES-000730,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 5,0.7571,8,5,7,0,0,-0.16675675994510475,True
ES-006362,2026-02-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 1,0.7947,2,4,5,0,0,-0.19264260876875833,True
ES-005274,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 3,0.7326,4,3,2,0,0,-0.20596641948681083,True
ES-007578,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 3,0.6957,7,2,7,0,0,-0.205211421228373,True
ES-005818,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 2,0.8772,4,2,1,0,0,-0.13092679679011754,True
ES-002810,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 4,0.7349,3,0,3,0,0,-0.14792664835799046,True
ES-006746,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 1,0.7347,2,2,10,0,0,-0.1556466670719845,True
ES-005882,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 4,0.8116,3,4,5,0,0,-0.2048130089389924,True
ES-001466,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 4,0.7774,3,3,4,0,0,-0.2142685916297835,True
ES-002842,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 5,0.742,4,2,7,0,0,-0.21536892116457318,True
ES-007546,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 2,0.7201,3,3,5,0,0,-0.21951053396349945,True
ES-000186,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 6,0.692,8,3,5,0,0,-0.2034173809744867,True
ES-001146,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 6,0.7184,8,4,10,0,0,-0.15456096610136827,True
ES-002874,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 6,0.6712,2,3,4,0,0,-0.19890844765183763,True
ES-003546,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 3,0.7069,4,4,8,0,0,-0.20574134151261225,True
ES-005850,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 3,0.728,6,2,7,0,0,-0.21519682885124575,True
ES-002906,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 1,0.6503,11,1,2,0,0,-0.08573929595713065,True
ES-003514,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 2,0.7587,8,2,2,0,0,-0.17338110188326927,True
ES-003578,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 4,0.6155,3,4,4,0,0,-0.1843817847028812,True
ES-007610,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 4,0.5726,5,6,10,0,0,-0.09483115002284737,True
ES-002234,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 4,0.6573,2,3,8,0,0,-0.1802371941074427,True
ES-000698,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 4,0.7721,3,2,12,0,0,-0.12898620411902617,True
ES-000378,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 6,0.7676,5,3,10,0,0,-0.18105879475244735,True
ES-006906,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 6,0.7762,4,0,6,0,0,-0.16406034962713884,True
ES-005594,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 1,0.7979,6,3,3,0,0,-0.20979177514378877,True
ES-004474,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 2,0.595,9,3,13,0,0,-0.05882906333164406,True
ES-001690,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 5,0.8065,4,4,4,0,0,-0.20948038782061795,True
ES-003994,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 5,0.7705,3,2,7,0,0,-0.2078573089889202,True
ES-000570,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 6,0.8296,9,5,5,0,0,-0.139732531996011,True
ES-005626,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 2,0.6261,8,5,4,0,0,-0.16792623983161625,True
ES-005690,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 4,0.6987,5,2,7,0,0,-0.21526140880947797,True
ES-005658,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 3,0.789,7,0,4,0,0,-0.1461978915348635,True
ES-004858,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 2,0.7293,6,5,10,0,0,-0.1625329408759778,True
ES-002650,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 5,0.7839,3,33,5,1,1,0.04965650011392986,True
ES-002522,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 1,0.6235,5,6,7,0,0,-0.1611448155974589,True
ES-000154,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,0.8285,1,5,3,0,0,-0.13449342621617855,True
ES-004378,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 5,0.6898,7,5,1,0,0,-0.15079816172887817,True
ES-005402,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 1,0.6258,4,3,0,0,0,-0.12727826230504913,True
ES-001562,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 1,0.7626,7,3,8,0,0,-0.19759250498127545,True
ES-004314,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 3,0.792,2,3,5,0,0,-0.20017053518393124,True
ES-006938,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 1,0.5895,5,4,5,0,0,-0.18554809611888295,True
ES-000474,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 3,0.8853,1,2,5,0,0,-0.132618298209412,True
ES-001722,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 6,0.7367,9,2,7,0,0,-0.17884069871281721,True
ES-004410,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 6,0.7081,3,4,3,0,0,-0.2042048352354221,True
ES-002682,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 6,0.7196,6,6,7,0,0,-0.1762116540925313,True
ES-007258,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 5,0.6285,3,2,10,0,0,-0.1444238983965554,True
ES-002266,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 5,0.6127,11,4,2,0,0,-0.08935677213739446,True
ES-004058,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 1,0.6429,9,5,6,0,0,-0.15919527827167718,True
ES-004506,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 3,0.6413,3,1,4,0,0,-0.17729815498195972,True
ES-006874,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 5,0.6906,6,3,9,0,0,-0.19742792319404834,True
ES-002618,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 4,0.6229,4,6,4,0,0,-0.1623526470963349,True
ES-004442,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 1,0.6271,4,2,6,0,0,-0.19900012536891826,True
ES-002170,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 2,0.6437,7,4,3,0,0,-0.19228327623952834,True
ES-007418,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 4,0.7646,5,3,5,0,0,-0.2245234093770203,True
ES-000538,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 5,0.762,10,3,5,0,0,-0.16906006713613814,True
ES-000858,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,0.7573,5,0,6,0,0,-0.17020635468979944,True
ES-001178,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 1,0.742,8,2,3,0,0,-0.18581833854893393,True
ES-007162,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 2,0.7174,3,4,3,0,0,-0.20647029721809135,True
ES-000442,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 2,0.7504,3,6,3,0,0,-0.16722882798192856,True
ES-000410,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 1,0.8298,3,1,1,0,0,-0.1381440862387508,True
ES-004026,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 6,0.7194,2,2,8,0,0,-0.1846277862605361,True
ES-004282,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 2,0.735,8,3,7,0,0,-0.19620547111411007,True
ES-001626,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 3,0.8576,8,3,6,0,0,-0.15895027463065203,True
ES-002202,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 3,0.65,6,5,2,0,0,-0.17118890097497097,True
ES-002298,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 6,0.7355,8,7,3,0,0,-0.11409355043023461,True
ES-005754,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 6,0.758,3,1,3,0,0,-0.19173802179457683,True
ES-004698,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 3,0.8928,5,1,3,0,0,-0.1409246579025315,True
ES-004250,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 1,0.6686,3,4,4,0,0,-0.20723135280250304,True
ES-002586,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 3,0.7504,5,2,8,0,0,-0.20417391694741005,True
ES-004762,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 5,0.6636,5,4,6,0,0,-0.21763864893420787,True
ES-001658,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 4,0.862,6,2,8,0,0,-0.16057506777756836,True
ES-006714,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 6,0.5985,4,2,4,0,0,-0.18073657367248142,True
ES-000506,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 4,0.6508,3,3,5,0,0,-0.20767569490407378,True
ES-001594,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 2,0.6356,10,4,7,0,0,-0.14644040026254918,True
ES-004730,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 4,0.7848,7,0,6,0,0,-0.1502003618551791,True
ES-004794,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 6,0.7924,9,2,9,0,0,-0.1465295276324874,True
ES-004346,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 4,0.6348,3,1,4,0,0,-0.17378925454725175,True
ES-005722,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 5,0.8289,10,2,6,0,0,-0.14723406760792634,True
ES-005082,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 3,0.8334,1,6,5,0,0,-0.11550163540018854,True
ES-006234,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 3,0.8772,6,5,3,0,0,-0.14429241480668586,True
ES-001274,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 4,0.6724,5,3,3,0,0,-0.21380145933926475,True
ES-006074,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 4,0.6297,11,3,2,0,0,-0.09485409815599405,True
ES-003098,2026-02-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 1,0.6461,4,6,9,0,0,-0.14388157847118832,True
ES-003450,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 6,0.8558,3,1,6,0,0,-0.16953007267576675,True
ES-004634,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 1,0.6856,5,3,2,0,0,-0.20300998716878943,True
ES-004538,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 4,0.7538,1,2,2,0,0,-0.1578333191203236,True
ES-003930,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 3,0.6507,7,4,9,0,0,-0.173991462460809,True
ES-001914,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 6,0.7744,4,3,2,0,0,-0.2025176759652479,True
ES-006330,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 6,0.7848,4,2,7,0,0,-0.20992854515528409,True
ES-005466,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 3,0.7348,5,4,3,0,0,-0.21228328091022874,True
ES-001946,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 1,0.786,7,3,2,0,0,-0.1869602811364533,True
ES-007034,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 4,0.7249,6,3,5,0,0,-0.22427644714663048,True
ES-007098,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 6,0.7281,9,3,4,0,0,-0.1885003197940941,True
ES-005498,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 4,0.7469,6,6,8,0,0,-0.16393066465309647,True
ES-005050,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 2,0.7763,11,4,5,0,0,-0.12849484576488918,True
ES-003066,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 6,0.6395,12,3,4,0,0,-0.11287045147311509,True
ES-003290,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 1,0.7766,3,1,0,0,0,-0.1211895441583527,True
ES-000922,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 5,0.7663,9,2,5,0,0,-0.18229226347642774,True
ES-000282,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 3,0.7066,4,5,14,0,0,-0.09966248139014677,True
ES-006170,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 1,0.7655,10,1,1,0,0,-0.10506915219637475,True
ES-007290,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 6,0.5243,6,3,5,0,0,-0.14106784544836176,True
ES-001978,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 2,0.6751,5,5,5,0,0,-0.208502491386244,True
ES-007066,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 5,0.7655,7,3,9,0,0,-0.18497788181992336,True
ES-002010,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 3,0.7317,8,1,3,0,0,-0.16994042174389445,True
ES-000314,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 4,0.8247,4,3,6,0,0,-0.20824232757438882,True
ES-007386,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 3,0.7727,3,2,13,0,0,-0.11668733317164748,True
ES-003322,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 2,0.724,7,3,4,0,0,-0.21479709301153566,True
ES-007322,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 1,0.7426,4,3,9,0,0,-0.2003522540568019,True
ES-003898,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 2,0.641,5,7,1,0,0,-0.0984495077564233,True
ES-004602,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 6,0.6385,4,4,7,0,0,-0.1979138514765459,True
ES-002106,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 6,0.7621,3,7,5,0,0,-0.14589898627099412,True
ES-003866,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 1,0.6873,4,2,7,0,0,-0.2136092213430132,True
ES-000346,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 5,0.774,3,2,6,0,0,-0.21361874663039937,True
ES-004826,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 1,0.6975,2,8,8,0,0,-0.09259935047779655,True
ES-002138,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 1,0.5252,6,1,5,0,0,-0.12157214846454334,True
ES-005434,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 2,0.8341,1,2,7,0,0,-0.14393809284792158,True
ES-000666,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 3,0.8349,5,4,5,0,0,-0.19602713625449047,True
ES-000058,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,0.8009,4,1,6,0,0,-0.1999714144068272,True
ES-001754,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 1,0.6516,10,2,7,0,0,-0.1533082670035561,True
ES-006842,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 4,0.7496,7,2,3,0,0,-0.2017152616490978,True
ES-004922,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 4,0.6809,8,3,6,0,0,-0.20251491071205163,True
ES-003418,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 5,0.7171,5,4,7,0,0,-0.21627876541809715,True
ES-003482,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 1,0.9343,3,3,9,0,0,-0.0879866619780908,True
ES-000218,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 1,0.7633,5,4,5,0,0,-0.2199687073967148,True
ES-005562,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 6,0.8767,3,2,6,0,0,-0.1735187710979516,True
ES-004666,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 2,0.8056,3,1,6,0,0,-0.19381053101748058,True
ES-003002,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 4,0.6685,7,5,3,0,0,-0.18360904501811698,True
ES-001530,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 6,0.6639,10,7,3,0,0,-0.08399316987213812,True
ES-005338,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 5,0.7411,3,3,4,0,0,-0.21779278902424937,True
ES-006970,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 2,0.5988,4,2,5,0,0,-0.18431544589654275,True
ES-007450,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 5,0.8251,4,4,9,0,0,-0.16835329839890656,True
ES-006682,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 5,0.552,6,5,8,0,0,-0.12713147409599956,True
ES-000026,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 1,0.9307,0,1,4,0,0,-0.04447031786254052,True
ES-007130,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 1,0.8132,2,4,5,0,0,-0.1900905946747352,True
ES-000602,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 1,0.8353,3,1,6,0,0,-0.1810606115515186,True
ES-003034,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 5,0.7154,3,2,6,0,0,-0.2148566342851263,True
ES-000890,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,0.6999,4,3,6,0,0,-0.22541450554647258,True
ES-005786,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 1,0.7634,5,3,2,0,0,-0.20461027864352238,True
ES-000826,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,0.7076,1,1,6,0,0,-0.15624723358800274,True
ES-006202,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 2,0.5587,5,6,4,0,0,-0.12849002458033404,True
ES-003386,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 4,0.8256,5,4,5,0,0,-0.20152149884667503,True
ES-006298,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 5,0.7157,5,1,4,0,0,-0.20680167416159317,True
ES-003962,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 4,0.6507,4,1,5,0,0,-0.19168532704624475,True
ES-006426,2026-02-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 3,0.795,3,4,3,0,0,-0.19813497484069503,True
