record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,next_achievement_rate,predicted_next_achievement_rate,forecast_status,absolute_forecast_error
ES-003194,2026-02-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 4,0.7195,0.7542,0.7188756763329827,Watch,0.03532432366701732
ES-007418,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 4,0.7646,0.6881,0.7423686659937071,Watch,0.054268665993707055
ES-006426,2026-02-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 3,0.795,0.8543,0.7836359922204568,On Track,0.07066400777954318
ES-003450,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 6,0.8558,0.8623,0.7979042596543315,On Track,0.06439574034566842
ES-005978,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 1,0.6679,0.5989,0.6841512526450068,Watch,0.08525125264500677
ES-007386,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 3,0.7727,0.7172,0.7443853257090118,Watch,0.027185325709011887
ES-002490,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 6,0.562,0.617,0.6308524575451759,Critical,0.013852457545175945
ES-001658,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 4,0.862,0.9078,0.8055118110326547,On Track,0.10228818896734537
ES-001946,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 1,0.786,0.8025,0.7764213666072254,On Track,0.02607863339277461
ES-000826,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,0.7076,0.7556,0.701546903489132,Watch,0.05405309651086809
ES-004666,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 2,0.8056,0.8024,0.7729259784070697,On Track,0.029474021592930333
ES-001242,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 3,0.6799,0.7371,0.7066639128690387,Watch,0.030436087130961242
ES-000538,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 5,0.762,0.9034,0.7515945085351926,On Track,0.15180549146480737
ES-003226,2026-02-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 5,0.6598,0.7057,0.6555091591709643,Watch,0.05019084082903569
ES-006746,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 1,0.7347,0.6515,0.7105067031216421,Watch,0.059006703121642134
ES-005946,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 6,0.8011,0.7367,0.774675923960469,On Track,0.037975923960469005
ES-006202,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 2,0.5587,0.6422,0.6169901540332594,Critical,0.025209845966740585
ES-001050,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 3,0.9888,0.9446,0.8575339692888984,On Track,0.08706603071110164
ES-002906,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 1,0.6503,0.7058,0.654022270511041,Watch,0.05177772948895898
ES-003386,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 4,0.8256,0.7582,0.7719857147516199,On Track,0.013785714751619937
ES-006458,2026-02-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 4,0.8266,0.7991,0.7789738603288544,On Track,0.020126139671145626
ES-007322,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 1,0.7426,0.7112,0.7139381168531441,Watch,0.002738116853144068
ES-000410,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 1,0.8298,0.8045,0.8074628665636735,On Track,0.002962866563673505
ES-002874,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 6,0.6712,0.6584,0.6521131938892832,Watch,0.006286806110716747
ES-000570,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 6,0.8296,0.8642,0.83485296197621,On Track,0.029347038023790017
ES-005210,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 1,0.7425,0.7629,0.7271977072959573,Watch,0.03570229270404268
ES-006234,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 3,0.8772,0.7225,0.8340518207519175,On Track,0.1115518207519175
ES-007130,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 1,0.8132,0.7356,0.7696085434688819,On Track,0.034008543468881824
ES-001338,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 6,0.9033,0.7809,0.8419141567123796,On Track,0.06101415671237953
ES-007098,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 6,0.7281,0.7391,0.7096480494756437,Watch,0.02945195052435623
ES-000858,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,0.7573,0.8003,0.7506760756973133,On Track,0.049623924302686695
ES-003322,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 2,0.724,0.7879,0.7294396870004579,Watch,0.05846031299954213
ES-000762,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 6,0.6571,0.6437,0.6879469655111352,Watch,0.04424696551113516
ES-000314,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 4,0.8247,0.8475,0.8152137397563906,On Track,0.03228626024360948
ES-001978,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 2,0.6751,0.7705,0.6941552576295562,Watch,0.07634474237044375
ES-006874,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 5,0.6906,0.6861,0.7019999405847831,Watch,0.015899940584783057
ES-003418,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 5,0.7171,0.6421,0.7012886547080915,Watch,0.05918865470809154
ES-004698,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 3,0.8928,0.8177,0.8378658396295269,On Track,0.020165839629526894
ES-003994,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 5,0.7705,0.7492,0.7345693784989427,Watch,0.014630621501057317
ES-007354,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 2,0.6801,0.8151,0.7023910024014296,Watch,0.11270899759857045
ES-004922,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 4,0.6809,0.7049,0.7033943297218744,Watch,0.0015056702781255371
ES-005466,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 3,0.7348,0.7375,0.7095974162911936,Watch,0.027902583708806494
ES-005242,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 2,0.8092,0.7143,0.7716898016723731,On Track,0.057389801672373064
ES-002330,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 1,0.5885,0.6946,0.6172159126909136,Critical,0.07738408730908641
ES-004154,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 4,0.5472,0.746,0.6285247445594726,Critical,0.11747525544052739
ES-002138,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 1,0.5252,0.6454,0.5833212548863037,Critical,0.062078745113696265
ES-002778,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 3,0.6723,0.6829,0.6590967084261695,Watch,0.023803291573830432
ES-006362,2026-02-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 1,0.7947,0.8551,0.7698111802946692,On Track,0.08528881970533075
ES-005786,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 1,0.7634,0.7079,0.7608101344001444,On Track,0.05291013440014447
ES-005338,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 5,0.7411,0.7493,0.7027352853766143,Watch,0.04656471462338563
ES-004410,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 6,0.7081,0.7507,0.7201586972375869,Watch,0.03054130276241318
ES-006618,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 3,0.6669,0.6357,0.6841553365845955,Watch,0.04845533658459544
ES-000890,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,0.6999,0.7682,0.7192019295964938,Watch,0.04899807040350623
ES-006842,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 4,0.7496,0.6643,0.7259834537390882,Watch,0.061683453739088234
ES-007578,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 3,0.6957,0.6972,0.6390066282174776,Critical,0.058193371782522485
ES-004282,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 2,0.735,0.7448,0.7600187250426603,On Track,0.015218725042660308
ES-002522,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 1,0.6235,0.6992,0.6523127108812655,Watch,0.04688728911873452
ES-000282,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 3,0.7066,0.7838,0.7017942368052744,Watch,0.08200576319472563
ES-002202,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 3,0.65,0.641,0.6440981558387332,Critical,0.0030981558387331853
ES-004442,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 1,0.6271,0.6679,0.6461883044405643,Critical,0.02171169555943575
ES-004122,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 3,0.742,0.696,0.7049123374292336,Watch,0.008912337429233697
ES-000058,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,0.8009,0.8475,0.7871965791441617,On Track,0.060303420855838286
ES-002106,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 6,0.7621,0.9179,0.7602380347457266,On Track,0.15766196525427345
ES-007610,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 4,0.5726,0.7307,0.6617434003836405,Watch,0.06895659961635947
ES-007290,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 6,0.5243,0.6074,0.600343720217112,Critical,0.007056279782888031
ES-005274,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 3,0.7326,0.7937,0.7163603564453771,Watch,0.07733964355462286
ES-005530,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 5,0.8022,0.8024,0.7776922416569898,On Track,0.0247077583430102
ES-001114,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 5,0.6941,0.7261,0.7049103981854811,Watch,0.0211896018145189
ES-000474,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 3,0.8853,0.7216,0.828756557129045,On Track,0.10715655712904493
ES-007674,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 6,0.5307,0.6085,0.5715131574935863,Critical,0.03698684250641371
ES-004218,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 6,0.5948,0.7528,0.6294491395217748,Critical,0.12335086047822519
ES-002746,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 2,0.602,0.7152,0.6210410146474745,Critical,0.09415898535252543
ES-006170,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 1,0.7655,0.7963,0.7450657387216996,Watch,0.05123426127830044
ES-006778,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 2,0.7109,0.7339,0.7126628931242087,Watch,0.02123710687579128
ES-004346,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 4,0.6348,0.844,0.6700411409182924,Watch,0.1739588590817076
ES-002682,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 6,0.7196,0.7344,0.7361931521025189,Watch,0.0017931521025188468
ES-004314,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 3,0.792,0.8941,0.758512469964909,On Track,0.13558753003509105
ES-002170,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 2,0.6437,0.6765,0.6519949391900682,Watch,0.024505060809931756
ES-004186,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 5,0.6274,0.6843,0.6669255875700567,Watch,0.01737441242994331
ES-007642,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 5,0.6277,0.5749,0.6358202086939461,Critical,0.0609202086939461
ES-000634,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 2,0.7808,0.7558,0.7601596795729975,On Track,0.0043596795729974325
ES-005562,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 6,0.8767,0.7523,0.7631808288062639,On Track,0.010880828806263954
ES-005050,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 2,0.7763,0.8168,0.7395439536267411,Watch,0.07725604637325889
ES-005306,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 4,0.7587,0.7645,0.7454350934626546,Watch,0.019064906537345383
ES-004378,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 5,0.6898,0.7066,0.6842846828975631,Watch,0.02231531710243695
ES-006266,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 4,0.6956,0.7673,0.7070901149952105,Watch,0.06020988500478952
ES-007194,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 3,0.6348,0.6303,0.6575829914985372,Watch,0.02728299149853719
ES-004954,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 5,0.7222,0.8215,0.7170100308208586,Watch,0.10448996917914144
ES-005018,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 1,0.7276,0.7321,0.7292137993129448,Watch,0.0028862006870551404
ES-000250,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 2,0.7716,0.6854,0.7768144092334809,On Track,0.09141440923348088
ES-007482,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 6,0.6687,0.7886,0.6688236148348053,Watch,0.11977638516519462
ES-007226,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 4,0.7129,0.6824,0.701748764490798,Watch,0.01934876449079803
ES-002042,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 4,0.7523,0.8499,0.7346805275167638,Watch,0.11521947248323616
ES-004026,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 6,0.7194,0.7767,0.6932658150204721,Watch,0.08343418497952781
ES-004986,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 6,0.6877,0.6832,0.7117108816764819,Watch,0.02851088167648186
ES-004634,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 1,0.6856,0.7393,0.7003238695692797,Watch,0.038976130430720235
ES-001434,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 3,0.8286,0.8753,0.806325521905645,On Track,0.06897447809435497
ES-004570,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 5,0.6575,0.6673,0.669145555140522,Watch,0.0018455551405219817
ES-002586,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 3,0.7504,0.6761,0.7017633057573393,Watch,0.025663305757339216
ES-002650,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 5,0.7839,0.775,0.7258930857195455,Watch,0.04910691428045455
ES-005498,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 4,0.7469,0.7175,0.7601005662928947,On Track,0.04260056629289466
ES-007450,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 5,0.8251,0.7447,0.769631646007214,On Track,0.02493164600721398
ES-002010,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 3,0.7317,0.7515,0.7279431607068462,Watch,0.023556839293153775
ES-001210,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 2,0.7919,0.8069,0.7742072484959343,On Track,0.0326927515040657
ES-004058,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 1,0.6429,0.6758,0.6649580357408437,Watch,0.01084196425915629
ES-005882,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 4,0.8116,0.8518,0.7825675868191565,On Track,0.0692324131808435
ES-002842,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 5,0.742,0.8004,0.7146201052031975,Watch,0.08577989479680248
ES-004602,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 6,0.6385,0.6822,0.6447299184198659,Critical,0.037470081580134096
ES-002714,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 1,0.8146,0.7616,0.7686056890315542,On Track,0.007005689031554185
ES-000698,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 4,0.7721,0.8435,0.748466617092342,Watch,0.09503338290765806
ES-007162,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 2,0.7174,0.7784,0.7207356564657051,Watch,0.05766434353429484
ES-005850,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 3,0.728,0.7819,0.7645805793886714,On Track,0.01731942061132863
ES-001370,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 1,0.6237,0.7892,0.6686771795800158,Watch,0.12052282041998419
ES-007546,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 2,0.7201,0.7951,0.7352191183471299,Watch,0.05988088165287009
ES-000154,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 5,0.8285,0.796,0.7869174119348714,On Track,0.009082588065128627
ES-004090,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 2,0.6475,0.7405,0.6693469480707505,Watch,0.07115305192924959
ES-005818,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 2,0.8772,0.7457,0.8290271578412491,On Track,0.08332715784124911
ES-004474,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 2,0.595,0.7125,0.6310266995722609,Critical,0.08147330042773915
ES-004250,2026-02-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 1,0.6686,0.6694,0.6616936064862323,Watch,0.007706393513767673
ES-007258,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 5,0.6285,0.657,0.6461666374349218,Critical,0.010833362565078275
ES-005370,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 6,0.6596,0.7137,0.6928143365120664,Watch,0.020885663487933637
ES-001626,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 3,0.8576,0.8733,0.8121260638285199,On Track,0.06117393617148004
ES-001466,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 4,0.7774,0.7438,0.7402314743240127,Watch,0.0035685256759873107
ES-004506,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 3,0.6413,0.6019,0.6509490530091572,Watch,0.049049053009157184
ES-001082,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 4,0.5929,0.6023,0.6663112292677299,Watch,0.06401122926772995
ES-007514,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 1,0.6544,0.6871,0.6767550609690093,Watch,0.010344939030990763
ES-006394,2026-02-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 2,0.7534,0.7847,0.7489482125394149,Watch,0.03575178746058505
ES-002074,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 5,0.6618,0.77,0.6883085354558099,Watch,0.08169146454419007
ES-002810,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 4,0.7349,0.7164,0.7506241369803579,On Track,0.03422413698035787
ES-005082,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 3,0.8334,0.8326,0.7889327171228987,On Track,0.04366728287710131
ES-000442,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 2,0.7504,0.6793,0.7148715499685018,Watch,0.03557154996850176
ES-001274,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 4,0.6724,0.6708,0.663768259732357,Watch,0.007031740267642972
ES-004538,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 4,0.7538,0.7582,0.6792541725021176,Watch,0.07894582749788237
ES-000794,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,0.7083,0.799,0.7330625960197957,Watch,0.06593740398020431
ES-003354,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 3,0.6784,0.7132,0.681924160779569,Watch,0.03127583922043098
ES-006938,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 1,0.5895,0.5675,0.6381655529287449,Critical,0.07066555292874488
ES-003674,2026-02-01,Education Access Project,Education,Borno,Mafa,Mafa Site 1,0.7418,0.7686,0.7207087125335557,Watch,0.04789128746644422
ES-000506,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Konduga,Konduga Site 4,0.6508,0.7778,0.7023769872281461,Watch,0.07542301277185393
ES-003546,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 3,0.7069,0.6826,0.6922806271278942,Watch,0.009680627127894192
ES-002618,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 4,0.6229,0.7803,0.6517060056386011,Watch,0.12859399436139884
ES-006042,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 3,0.7859,0.762,0.7541064661532835,On Track,0.007893533846716538
ES-004794,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 6,0.7924,0.9369,0.7739038728350145,On Track,0.16299612716498546
ES-007002,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 3,0.6984,0.6545,0.6798688056059817,Watch,0.02536880560598176
ES-000986,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 1,0.8628,0.934,0.8117711874991361,On Track,0.12222881250086393
ES-005434,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 2,0.8341,0.8146,0.7687413218486062,On Track,0.04585867815139377
ES-005402,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 1,0.6258,0.7987,0.6535986012292653,Watch,0.1451013987707347
ES-003866,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 1,0.6873,0.6322,0.6988563843548977,Watch,0.06665638435489774
ES-004890,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 3,0.8082,0.7724,0.7637832825204395,On Track,0.008616717479560498
ES-005722,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Ngala,Ngala Site 5,0.8289,0.8253,0.7925750069443528,On Track,0.032724993055647245
ES-001850,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 4,0.6965,0.7965,0.7069441773375718,Watch,0.08955582266242823
ES-001754,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 1,0.6516,0.649,0.6574647131740006,Watch,0.008464713174000549
ES-000730,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 5,0.7571,0.7776,0.735585008460059,Watch,0.04201499153994093
ES-001178,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Dikwa,Dikwa Site 1,0.742,0.7444,0.7209300311734662,Watch,0.023469968826533738
ES-005146,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 5,0.8422,0.7595,0.7999343968375566,On Track,0.040434396837556674
ES-003706,2026-02-01,Education Access Project,Education,Borno,Mafa,Mafa Site 2,0.6622,0.7114,0.6650020192500214,Watch,0.046397980749978585
ES-006682,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 5,0.552,0.5311,0.6139646889585494,Critical,0.08286468895854937
ES-001690,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Maiduguri,Maiduguri Site 5,0.8065,0.9337,0.7395449904365062,Watch,0.19415500956349374
ES-006298,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 5,0.7157,0.6364,0.7225885274509218,Watch,0.08618852745092187
ES-002426,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 4,0.645,0.7832,0.6729696505152648,Watch,0.1102303494847352
