alert_rank,record_id,reporting_date,programme_name,sector,state,lga,community,achievement_rate,predicted_risk,probability_high,forecast_available,predicted_next_achievement_rate,forecast_status,predicted_anomaly,anomaly_score,risk_component_score,forecast_component_score,anomaly_component_score,early_warning_score,early_warning_priority,warning_signal_count,signal_agreement,primary_driver,secondary_driver,tertiary_driver,strongest_protective_signal,priority_message,integrated_investigation_guidance,review_status,forecast_context,decision_use
11,ES-003291,2026-03-01,Education Access Project,Education,Borno,Jere,Jere Site 1,0.6853,High,0.9999999982300788,True,0.7120697862410071,Watch,1,0.0481929748942475,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Reporting delay,Low achievement,Low activity completion,Limited supply delay,Risk: High | Forecast: Watch | Anomaly: Alert,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
12,ES-005243,2026-03-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 2,0.7143,High,0.9999999944515544,True,0.7379099842461683,Watch,1,0.0436432532241762,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Low achievement,Lower data quality,Strong staff availability,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Validate source data, completeness and reporting quality. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
13,ES-004187,2026-03-01,Education Access Project,Education,Borno,Ngala,Ngala Site 5,0.6843,High,0.9999999939656616,True,0.6848730974578929,Watch,1,0.0182047334517932,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Reporting delay,Low achievement,Low activity completion,Limited supply delay,Risk: High | Forecast: Watch | Anomaly: Alert,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
14,ES-006299,2026-03-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 5,0.6364,High,0.9999999886528748,True,0.6557804783309312,Watch,1,0.0481600648587181,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Elevated complaints,Low achievement,Low activity completion,Limited supply delay,Risk: High | Forecast: Watch | Anomaly: Alert,Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
15,ES-002652,2026-04-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 5,0.756,High,0.999999886125955,True,0.7438037851165022,Watch,1,0.0589388032536183,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Access constraints,Previous-month achievement pattern,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review recent performance trends for persistent underachievement. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
16,ES-004607,2026-07-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 6,0.3642,High,0.9999994287793909,True,0.6522298293338104,Watch,1,0.0147315217667511,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Low achievement,Elevated complaints,Low staff availability,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,"Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review staffing coverage, absences and field deployment capacity. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
17,ES-004287,2026-07-01,Education Access Project,Education,Borno,Dikwa,Dikwa Site 2,0.7398,High,0.9999986893740866,True,0.7468625224487886,Watch,1,0.0333979280081879,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Supply delay,Reporting delay,Elevated complaints,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review feedback and complaint records for recurring operational issues. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
18,ES-007197,2026-05-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 3,0.2927,High,0.99999816660924,True,0.6585881359048092,Watch,1,0.0087253130758341,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Low achievement,Access constraints,Low staff availability,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
19,ES-006331,2026-03-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 6,0.3595,High,0.9999575681706264,True,0.7281545609734676,Watch,1,0.0149540681333704,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Low achievement,Reporting delay,Low activity completion,Limited supply delay,Risk: High | Forecast: Watch | Anomaly: Alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
20,ES-005788,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 1,0.6516,High,0.9998697166293462,True,0.6957721294371896,Watch,1,0.0505662552938577,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Elevated complaints,Low achievement,Reporting delay,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Validate the unusual operational pattern against source data and field context.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
21,ES-006366,2026-06-01,WASH Resilience Initiative,WASH,Borno,Jere,Jere Site 1,0.6832,High,0.9997122965295748,True,0.7377196075221797,Watch,1,0.0068298740779789,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Reporting delay,Low achievement,Access constraints,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,"Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
22,ES-002650,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 5,0.7839,High,0.9984227535601315,True,0.7258930857195455,Watch,1,0.0496565001139298,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Elevated complaints,Low activity completion,Access constraints,Strong achievement,Risk: High | Forecast: Watch | Anomaly: Alert,"Review feedback and complaint records for recurring operational issues. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
23,ES-004443,2026-03-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 1,0.6679,High,0.9841883001520104,True,0.6903515969041332,Watch,1,0.0271190669830108,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Elevated complaints,Low achievement,Low activity completion,Lower access constraints,Risk: High | Forecast: Watch | Anomaly: Alert,Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate the unusual operational pattern against source data and field context.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
24,ES-000796,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,0.7098,High,0.8970882446955829,True,0.7339206450915334,Watch,1,0.0579648335595347,100.0,50.0,100.0,85.0,High,3,Strong Agreement,Elevated complaints,Low achievement,Access constraints,Strong activity completion,Risk: High | Forecast: Watch | Anomaly: Alert,"Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Validate the unusual operational pattern against source data and field context.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
25,ES-002490,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 6,0.562,High,0.999997879447467,True,0.6308524575451759,Critical,0,-0.1126067925586256,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Supply delay,Lower complaints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
26,ES-002491,2026-03-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 6,0.617,High,0.9999803411335524,True,0.6292346369499989,Critical,0,-0.1391971807554677,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low activity completion,Low achievement,Reporting delay,Limited supply delay,Risk: High | Forecast: Critical | Anomaly: No alert,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review the projected next-period underachievement and identify preventive actions.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
27,ES-004474,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 2,0.595,High,0.9999543689680914,True,0.6310266995722609,Critical,0,-0.058829063331644,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Supply delay,Reporting delay,Strong activity completion,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
28,ES-006079,2026-07-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 4,0.5684,High,0.9999258198240842,True,0.6164559629756707,Critical,0,-0.025463689595795,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Supply delay,Reporting delay,Lower complaints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
29,ES-006682,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 5,0.552,High,0.9999012051653456,True,0.6139646889585494,Critical,0,-0.1271314740959995,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Supply delay,Previous-month achievement pattern,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
30,ES-002493,2026-05-01,Livelihood Recovery Initiative,Livelihoods,Borno,Bama,Bama Site 6,0.6221,High,0.9998484329091596,True,0.642033131376911,Critical,0,-0.1482679137915395,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Reporting delay,Limited supply delay,Risk: High | Forecast: Critical | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review the projected next-period underachievement and identify preventive actions.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
31,ES-006683,2026-03-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 5,0.5311,High,0.9997859415853568,True,0.5830355502340133,Critical,0,-0.1306080760109055,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Supply delay,Lower complaints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
32,ES-006939,2026-03-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 1,0.5675,High,0.9996535446467502,True,0.6200340644889635,Critical,0,-0.0433520312261893,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Reporting delay,Low activity completion,Limited supply delay,Risk: High | Forecast: Critical | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review the projected next-period underachievement and identify preventive actions.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
33,ES-007645,2026-05-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 5,0.6122,High,0.9995261147293836,True,0.6297954692727638,Critical,0,-0.0215802076442906,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Reporting delay,Elevated complaints,Strong activity completion,Risk: High | Forecast: Critical | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review feedback and complaint records for recurring operational issues. | Review the projected next-period underachievement and identify preventive actions.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
34,ES-006076,2026-04-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 4,0.5721,High,0.9979877226346576,True,0.6235425367145883,Critical,0,-0.1186494586339556,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Supply delay,Low activity completion,Lower complaints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
35,ES-002746,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Dikwa,Dikwa Site 2,0.602,High,0.9975551368969536,True,0.6210410146474745,Critical,0,-0.1738981975670381,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Reporting delay,Limited supply delay,Risk: High | Forecast: Critical | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review the projected next-period underachievement and identify preventive actions.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
36,ES-007674,2026-02-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 6,0.5307,High,0.9954840890337848,True,0.5715131574935863,Critical,0,-0.0663937940495676,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Elevated complaints,Low staff availability,Timely reporting,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review staffing coverage, absences and field deployment capacity. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
37,ES-007676,2026-04-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 6,0.6433,High,0.9933883027956942,True,0.641500581945128,Critical,0,-0.0369929108258632,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Supply delay,Low achievement,Low activity completion,Lower complaints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
38,ES-003610,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 5,0.568,High,0.9909809079912936,True,0.6226737095449378,Critical,0,-0.1523058312965685,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Access constraints,Timely reporting,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
39,ES-003098,2026-02-01,Education Access Project,Education,Borno,Maiduguri,Maiduguri Site 1,0.6461,High,0.9902210174587852,True,0.6444439011799129,Critical,0,-0.1438815784711883,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Supply delay,Timely reporting,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
40,ES-002138,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 1,0.5252,High,0.9815631974089948,True,0.5833212548863037,Critical,0,-0.1215721484645433,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Access constraints,Low staff availability,Lower complaints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
41,ES-007643,2026-03-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 5,0.5749,High,0.9801898894221034,True,0.6099453751883155,Critical,0,-0.1490746041917129,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Supply delay,Lower access constraints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
42,ES-007675,2026-03-01,WASH Resilience Initiative,WASH,Borno,Gwoza,Gwoza Site 6,0.6085,High,0.9790897028020792,True,0.6212894239577245,Critical,0,-0.1612008817079023,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Access constraints,Previous-month achievement pattern,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
43,ES-001086,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Ngala,Ngala Site 4,0.6041,High,0.9783569952305884,True,0.632755892709498,Critical,0,-0.1673839919994292,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Supply delay,Lower access constraints,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
44,ES-004478,2026-06-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 2,0.5815,High,0.97454124022975,True,0.6412080249710053,Critical,0,-0.1302962084449832,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Reporting delay,Limited supply delay,Risk: High | Forecast: Critical | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review the projected next-period underachievement and identify preventive actions.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
45,ES-003743,2026-07-01,Education Access Project,Education,Borno,Mafa,Mafa Site 3,0.6111,High,0.9702176343288108,True,0.6127276986488331,Critical,0,-0.1126214999508885,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Supply delay,Low activity completion,Strong data quality,Risk: High | Forecast: Critical | Anomaly: No alert,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review the projected next-period underachievement and identify preventive actions.",Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
46,ES-006078,2026-06-01,Nutrition Support Programme,Nutrition,Borno,Gwoza,Gwoza Site 4,0.5931,High,0.9543338115922704,True,0.6279231830855638,Critical,0,-0.1045337026949517,100.0,100.0,0.0,80.0,High,2,Multiple Signals,Low achievement,Low activity completion,Reporting delay,Limited supply delay,Risk: High | Forecast: Critical | Anomaly: No alert,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions. | Review the projected next-period underachievement and identify preventive actions.,Priority human review,Held-out forecast available,Recommended for human review; the model does not make operational decisions.
