record_id,reporting_date,programme_name,sector,state,lga,community,monthly_target,monthly_achievement,achievement_rate,activity_completion_rate,budget_utilisation_rate,reporting_delay_days,complaints_count,staff_availability_rate,supply_delay_days,previous_month_achievement_rate,access_constraint_score,data_quality_score,anomaly_flag,risk_label,recommended_action
ES-000798,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,902,649,0.72,0.7497,0.7676,5,3,0.8858,6,0.736,0.3149,0.9616,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000799,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,837,711,0.85,0.598,0.9966,6,3,0.902,5,0.72,0.3071,0.9083,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000800,2026-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 1,800,645,0.8063,0.707,0.9323,2,2,0.8617,6,0.85,0.2545,0.9111,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000801,2024-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,640,528,0.8256,0.6872,0.7781,4,1,0.9276,3,0.8304,0.2278,0.9091,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000802,2024-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,665,551,0.8287,0.5913,0.7557,3,7,0.928,9,0.8256,0.224,0.9114,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000803,2024-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,632,505,0.7998,0.71,0.6889,7,3,0.9333,4,0.8287,0.1654,0.9742,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000804,2024-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,631,476,0.7536,0.7398,0.7757,8,6,0.9749,1,0.7998,0.2791,0.7857,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000805,2024-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,608,518,0.8523,0.7812,0.8767,6,1,0.9304,0,0.7536,0.2988,0.9234,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000806,2024-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,564,490,0.8689,0.7456,0.8724,3,3,0.9431,2,0.8523,0.3093,0.9489,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000807,2024-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,641,502,0.7834,0.8211,0.7833,3,3,0.9135,4,0.8689,0.3682,0.9085,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000808,2024-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,600,510,0.85,0.8074,0.6663,3,0,0.9127,4,0.7834,0.3476,0.8476,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000809,2024-09-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,632,498,0.7884,0.825,0.7956,5,3,0.9073,7,0.85,0.2903,0.9319,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000810,2024-10-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,638,484,0.759,0.7777,0.8587,7,1,0.898,3,0.7884,0.3065,0.897,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000811,2024-11-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,683,470,0.6886,0.6168,0.8303,4,5,0.8911,7,0.759,0.3377,0.9277,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000812,2024-12-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,519,359,0.6922,0.588,0.8066,7,4,0.9378,5,0.6886,0.3359,0.8855,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000813,2025-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,663,529,0.7972,0.6839,0.7887,9,3,0.9336,1,0.6922,0.2818,0.8743,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000814,2025-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,678,489,0.7208,0.5941,0.7552,12,0,0.8761,5,0.7972,0.2859,0.841,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000815,2025-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,622,521,0.8384,0.5925,0.7455,6,3,0.8682,1,0.7208,0.2623,0.9452,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000816,2025-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,557,429,0.7694,0.6618,0.8202,12,3,0.8338,10,0.8384,0.2004,0.8904,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000817,2025-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,660,534,0.8086,0.6902,0.8686,5,4,0.8203,4,0.7694,0.2789,0.888,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000818,2025-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,602,465,0.7719,0.7645,0.8974,13,3,0.8869,6,0.8086,0.2209,0.8798,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000819,2025-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,657,574,0.8744,0.723,0.8411,5,1,0.8806,5,0.7719,0.1414,0.8171,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000820,2025-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,683,511,0.7478,0.6707,0.8801,9,0,0.8692,2,0.8744,0.1553,0.815,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000821,2025-09-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,602,434,0.7217,0.7077,0.8675,7,5,0.8656,9,0.7478,0.1865,0.8701,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000822,2025-10-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,548,376,0.6858,0.7334,0.7618,4,1,0.8891,8,0.7217,0.18,0.9743,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000823,2025-11-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,636,462,0.7265,0.7556,0.7946,3,3,0.8812,0,0.6858,0.2407,0.8401,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000824,2025-12-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,561,431,0.7677,0.7585,0.718,4,5,0.8559,2,0.7265,0.259,0.9368,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000825,2026-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,603,414,0.6866,0.6452,0.8449,5,2,0.8263,5,0.7677,0.3757,0.8665,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000826,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,623,441,0.7076,0.7444,0.7719,1,1,0.8706,6,0.6866,0.3869,0.9202,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000827,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,688,520,0.7556,0.7972,0.8656,5,1,0.8905,6,0.7076,0.4242,0.8829,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000828,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,593,443,0.7473,0.7693,0.8541,8,7,0.8644,6,0.7556,0.4174,0.9053,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000829,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,735,580,0.7887,0.7534,0.7737,3,5,0.8841,4,0.7473,0.3755,0.8465,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000830,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,641,470,0.7335,0.8087,0.8583,3,0,0.8266,6,0.7887,0.3315,0.9471,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000831,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,759,590,0.777,0.815,0.7041,5,3,0.8521,2,0.7335,0.315,0.7766,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000832,2026-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,725,485,0.6692,0.6276,0.8455,7,3,0.8669,6,0.777,0.2774,0.9214,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000833,2024-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,686,525,0.765,0.7986,0.8393,6,1,0.8666,5,0.7862,0.2122,0.8404,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000834,2024-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,612,514,0.8392,0.8151,0.8901,8,2,0.884,3,0.765,0.1864,1.0,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000835,2024-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,628,600,0.955,0.7787,0.804,2,4,0.9061,3,0.8392,0.2323,0.8987,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000836,2024-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,576,520,0.9026,0.7873,0.7927,10,2,0.861,6,0.955,0.2862,0.9324,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000837,2024-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,556,487,0.8757,0.8337,0.8085,2,5,0.8712,8,0.9026,0.2528,0.9221,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000838,2024-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,562,535,0.9513,0.8182,0.7625,6,7,0.883,1,0.8757,0.2571,0.9622,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000839,2024-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,632,565,0.8938,0.8304,0.8741,1,2,0.9316,3,0.9513,0.3678,0.9353,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000840,2024-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,592,480,0.8104,0.7444,0.6913,3,2,0.9419,5,0.8938,0.3383,0.949,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000841,2024-09-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,643,530,0.825,0.7697,0.6165,6,2,0.8787,3,0.8104,0.2912,0.8832,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000842,2024-10-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,660,488,0.7399,0.7255,0.7807,3,2,0.8986,5,0.825,0.3569,0.9056,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000843,2024-11-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,590,385,0.6518,0.6974,0.875,8,4,0.847,4,0.7399,0.3534,0.834,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000844,2024-12-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,611,457,0.7476,0.742,0.8287,3,2,0.898,4,0.6518,0.2676,0.9379,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000845,2025-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,613,449,0.7325,0.7938,0.7785,3,1,0.8837,6,0.7476,0.2742,0.9376,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000846,2025-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,709,597,0.8419,0.8038,1.0503,2,2,0.8399,2,0.7325,0.3386,0.9674,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000847,2025-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,642,544,0.8467,0.7639,0.8484,7,4,0.8846,8,0.8419,0.2251,0.8501,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000848,2025-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,664,548,0.8256,0.783,0.8209,6,5,0.8819,4,0.8467,0.2111,0.889,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000849,2025-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,706,630,0.8924,0.8155,0.858,4,0,0.8531,11,0.8256,0.2064,0.8432,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000850,2025-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,525,477,0.9091,0.8031,0.8364,3,2,0.8711,5,0.8924,0.2423,0.8851,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000851,2025-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,647,563,0.8697,0.7521,0.9663,6,2,0.8959,6,0.9091,0.366,0.8499,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000852,2025-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,708,552,0.7798,0.726,0.7326,8,7,0.8831,4,0.8697,0.3181,0.8482,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000853,2025-09-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,672,540,0.8035,0.749,0.9558,5,2,0.8873,6,0.7798,0.4307,0.9873,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000854,2025-10-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,512,395,0.7724,0.7142,0.8256,4,3,0.8949,7,0.8035,0.4143,0.9351,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000855,2025-11-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,663,509,0.7679,0.8076,0.8839,4,2,0.9234,5,0.7724,0.3179,0.9197,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000856,2025-12-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,696,593,0.8527,0.7542,0.8429,8,1,0.8717,5,0.7679,0.324,0.8397,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000857,2026-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,646,471,0.7291,0.6613,0.909,6,5,0.8717,7,0.8527,0.2727,0.886,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000858,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,629,476,0.7573,0.6912,0.8138,5,0,0.9239,6,0.7291,0.3505,0.9347,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000859,2026-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,558,447,0.8003,0.6883,0.7239,9,3,0.8733,9,0.7573,0.3964,0.9307,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000860,2026-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,639,538,0.842,0.7183,0.9257,6,1,0.8669,5,0.8003,0.3775,0.9326,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000861,2026-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,741,576,0.7768,0.7676,0.7385,7,2,0.8534,4,0.842,0.3044,0.902,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000862,2026-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,596,430,0.722,0.7442,0.7823,6,4,0.8886,4,0.7768,0.2718,0.933,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000863,2026-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,536,413,0.7712,0.8178,0.7878,8,3,0.8631,9,0.722,0.346,0.9055,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000864,2026-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 3,610,481,0.7879,0.83,0.6538,5,2,0.8838,9,0.7712,0.359,0.9541,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000865,2024-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,528,391,0.74,0.749,0.9509,4,3,0.8646,9,0.8021,0.4022,1.0,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000866,2024-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,606,477,0.7864,0.7584,0.8632,3,2,0.8881,7,0.74,0.3716,0.8758,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000867,2024-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,489,423,0.8641,0.6352,1.0259,8,4,0.8803,8,0.7864,0.3561,0.9616,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000868,2024-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,610,548,0.8979,0.6256,0.8472,6,0,0.9207,5,0.8641,0.4177,0.8946,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000869,2024-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,503,427,0.8497,0.6905,0.7003,0,2,0.8785,3,0.8979,0.3787,0.9327,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000870,2024-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,580,472,0.8136,0.6682,0.7573,7,2,0.8991,5,0.8497,0.3197,0.8773,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000871,2024-07-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,562,441,0.7851,0.7094,0.9962,5,0,0.8651,4,0.8136,0.3272,0.8827,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000872,2024-08-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,546,464,0.8491,0.7313,0.6207,1,3,0.8976,8,0.7851,0.3163,0.9069,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000873,2024-09-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,427,325,0.7603,0.703,0.8291,7,1,0.8519,3,0.8491,0.3749,0.9061,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000874,2024-10-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,508,386,0.7604,0.6542,0.8784,11,3,0.7883,5,0.7603,0.3537,0.8444,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000875,2024-11-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,506,393,0.7757,0.728,0.8725,3,5,0.8507,3,0.7604,0.3673,0.9037,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000876,2024-12-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,580,461,0.7948,0.8185,0.9062,6,3,0.8436,6,0.7757,0.2618,0.9533,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000877,2025-01-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,490,401,0.819,0.7948,0.796,4,2,0.8694,5,0.7948,0.232,0.9194,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000878,2025-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,514,425,0.8264,0.7335,0.7792,4,3,0.8495,7,0.819,0.3044,0.9246,0,Low,Continue routine monitoring; no immediate escalation indicated.
ES-000879,2025-03-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,542,419,0.7724,0.7667,0.8324,8,2,0.8735,14,0.8264,0.2825,0.9103,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000880,2025-04-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,537,408,0.7607,0.6751,0.8611,5,2,0.892,5,0.7724,0.3904,0.8534,0,Medium,Monitor closely and review contributing indicators during the next programme check-in.
ES-000881,2025-05-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,526,217,0.4126,0.633,0.9621,6,2,0.8464,7,0.7607,0.4065,0.9047,1,High,Recommended for human review: examine target underachievement and verify contributing factors.
ES-000882,2025-06-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,541,438,0.8103,0.6849,0.8501,5,3,0.8879,6,0.7399,0.4909,0.8702,0,Low,Continue routine monitoring; no immediate escalation indicated.
